Country,Clicks,Impressions,CTR,Position
United States,12,624,1.9%,54.6
United Kingdom,4,93,4.3%,48.6
Australia,1,30,3.3%,43.2
Brazil,1,10,10%,7.1
Portugal,1,5,20%,9.0
India,0,148,0%,53.8
Canada,0,48,0%,57.5
Netherlands,0,8,0%,8.6
Germany,0,6,0%,7.7
Austria,0,5,0%,9.2
Turkey,0,4,0%,8.2
Poland,0,4,0%,10.0
Denmark,0,4,0%,29.2
New Zealand,0,4,0%,45.2
Mexico,0,3,0%,4.7
Colombia,0,3,0%,6.3
Czechia,0,3,0%,7.7
Belgium,0,3,0%,10.0
Japan,0,3,0%,16.3
Israel,0,3,0%,43.3
Costa Rica,0,2,0%,8.0
Cuba,0,2,0%,8.0
Russia,0,2,0%,8.0
Finland,0,2,0%,9.0
Indonesia,0,2,0%,10.0
Bangladesh,0,2,0%,11.5
China,0,2,0%,13.5
Philippines,0,2,0%,13.5
Spain,0,2,0%,45.0
Serbia,0,2,0%,59.5
Algeria,0,1,0%,4.0
Greece,0,1,0%,5.0
Egypt,0,1,0%,6.0
Nigeria,0,1,0%,6.0
Singapore,0,1,0%,6.0
Italy,0,1,0%,7.0
Morocco,0,1,0%,7.0
Malaysia,0,1,0%,7.0
Ukraine,0,1,0%,7.0
Estonia,0,1,0%,8.0
Kazakhstan,0,1,0%,9.0
United Arab Emirates,0,1,0%,10.0
Tanzania,0,1,0%,10.0
Albania,0,1,0%,12.0
Bulgaria,0,1,0%,12.0
Norway,0,1,0%,12.0
Vietnam,0,1,0%,17.0
France,0,1,0%,36.0
South Korea,0,1,0%,100.0
