Country,Clicks,Impressions,CTR,Position
United States,43,381,11.3%,5.8
Canada,3,18,16.7%,5.6
Australia,1,15,6.7%,6.9
Denmark,1,3,33.3%,5.7
United Kingdom,1,5,20%,7.4
India,1,4,25%,2.8
Ireland,1,3,33.3%,1.7
Poland,1,3,33.3%,8.0
Saudi Arabia,1,1,100%,1.0
United Arab Emirates,0,2,0%,5.5
Austria,0,2,0%,6.5
Belgium,0,1,0%,4.0
Bangladesh,0,1,0%,3.0
BGR,0,1,0%,11.0
Brazil,0,4,0%,5.0
Switzerland,0,2,0%,5.5
China,0,5,0%,5.4
CRI,0,1,0%,10.0
Germany,0,8,0%,8.2
Spain,0,12,0%,7.1
EST,0,1,0%,9.0
Finland,0,2,0%,6.5
France,0,1,0%,5.0
Greece,0,1,0%,10.0
HKG,0,2,0%,5.5
HRV,0,1,0%,10.0
HUN,0,1,0%,4.0
Indonesia,0,2,0%,7.5
Italy,0,3,0%,4.3
South Korea,0,1,0%,10.0
Sri Lanka,0,1,0%,11.0
LTU,0,1,0%,4.0
MAR,0,1,0%,5.0
Mexico,0,2,0%,7.5
Nigeria,0,1,0%,5.0
Netherlands,0,4,0%,6.0
Norway,0,1,0%,6.0
New Zealand,0,2,0%,10.0
Pakistan,0,3,0%,6.3
Portugal,0,1,0%,6.0
Romania,0,1,0%,10.0
RUS,0,2,0%,7.0
RWA,0,1,0%,5.0
SRB,0,1,0%,1.0
SVK,0,1,0%,9.0
Sweden,0,2,0%,7.0
TUN,0,2,0%,9.5
Ukraine,0,1,0%,10.0
URY,0,1,0%,5.0
Vietnam,0,1,0%,31.0
