Country,Clicks,Impressions,CTR,Position
United States,90,1126,8%,8.0
Brazil,3,11,27.3%,8.1
Canada,3,39,7.7%,6.8
United Kingdom,3,40,7.5%,9.2
Germany,2,12,16.7%,5.5
France,2,5,40%,5.0
Sweden,2,10,20%,7.6
Australia,1,18,5.6%,8.4
Belgium,1,2,50%,6.0
CRI,1,2,50%,8.5
ETH,1,4,25%,12.0
Indonesia,1,7,14.3%,15.3
Ireland,1,8,12.5%,5.2
South Korea,1,1,100%,3.0
LBN,1,3,33.3%,7.3
LTU,1,1,100%,3.0
MAR,1,5,20%,22.6
Mexico,1,8,12.5%,8.4
Netherlands,1,16,6.2%,9.8
Poland,1,6,16.7%,4.8
Portugal,1,9,11.1%,7.4
Vietnam,1,6,16.7%,20.5
United Arab Emirates,0,1,0%,7.0
Argentina,0,2,0%,8.0
ATG,0,1,0%,9.0
Austria,0,4,0%,8.5
Bangladesh,0,1,0%,11.0
BGR,0,3,0%,8.3
BRB,0,1,0%,9.0
BWA,0,2,0%,8.0
Switzerland,0,2,0%,7.0
Colombia,0,1,0%,7.0
CZE,0,2,0%,10.0
Denmark,0,4,0%,7.2
DZA,0,1,0%,27.0
ECU,0,3,0%,10.0
Egypt,0,1,0%,5.0
Spain,0,7,0%,5.3
Finland,0,1,0%,8.0
Greece,0,3,0%,11.0
GRD,0,1,0%,8.0
GTM,0,1,0%,38.0
HKG,0,3,0%,6.7
HND,0,1,0%,22.0
HRV,0,1,0%,8.0
HUN,0,3,0%,7.0
India,0,12,0%,10.8
IRQ,0,4,0%,12.5
Italy,0,9,0%,7.4
KAZ,0,1,0%,10.0
LUX,0,2,0%,6.5
LVA,0,3,0%,5.3
Malaysia,0,4,0%,7.5
Nigeria,0,1,0%,6.0
Norway,0,1,0%,9.0
Pakistan,0,2,0%,20.0
Peru,0,1,0%,5.0
Romania,0,1,0%,9.0
RUS,0,5,0%,15.4
Saudi Arabia,0,1,0%,7.0
Singapore,0,11,0%,7.5
SLV,0,1,0%,7.0
SVN,0,2,0%,9.0
TUN,0,1,0%,9.0
Turkey,0,6,0%,11.8
TWN,0,1,0%,11.0
Ukraine,0,1,0%,12.0
VEN,0,1,0%,4.0
XKK,0,1,0%,11.0
ZWE,0,1,0%,10.0
