Country,Clicks,Impressions,CTR,Position
United States,16,714,2.2%,49.3
United Kingdom,5,98,5.1%,46.3
Australia,1,38,2.6%,46.1
Brazil,1,10,10%,7.1
Portugal,1,5,20%,9.0
Switzerland,1,4,25%,6.2
India,0,195,0%,53.2
Canada,0,51,0%,54.5
Netherlands,0,9,0%,8.9
Germany,0,7,0%,8.0
Serbia,0,6,0%,62.7
Austria,0,5,0%,9.2
Denmark,0,5,0%,25.6
Turkey,0,4,0%,8.2
Poland,0,4,0%,10.0
New Zealand,0,4,0%,45.2
Israel,0,4,0%,54.5
Mexico,0,3,0%,4.7
Colombia,0,3,0%,6.3
Czechia,0,3,0%,7.7
Belgium,0,3,0%,10.0
Philippines,0,3,0%,12.3
Japan,0,3,0%,16.3
Indonesia,0,3,0%,21.7
Costa Rica,0,2,0%,8.0
Cuba,0,2,0%,8.0
Russia,0,2,0%,8.0
Singapore,0,2,0%,8.5
Finland,0,2,0%,9.0
Bangladesh,0,2,0%,11.5
China,0,2,0%,13.5
Spain,0,2,0%,45.0
Algeria,0,1,0%,4.0
Greece,0,1,0%,5.0
Egypt,0,1,0%,6.0
Italy,0,1,0%,7.0
Morocco,0,1,0%,7.0
Malaysia,0,1,0%,7.0
Ukraine,0,1,0%,7.0
Estonia,0,1,0%,8.0
Kazakhstan,0,1,0%,9.0
United Arab Emirates,0,1,0%,10.0
Ethiopia,0,1,0%,10.0
Tanzania,0,1,0%,10.0
Albania,0,1,0%,12.0
Bulgaria,0,1,0%,12.0
Norway,0,1,0%,12.0
Vietnam,0,1,0%,17.0
France,0,1,0%,36.0
Cameroon,0,1,0%,95.0
South Korea,0,1,0%,100.0
