Country,Clicks,Impressions,CTR,Position
United States,135,1785,7.6%,6.1
United Kingdom,8,46,17.4%,6.9
Canada,3,45,6.7%,5.6
Australia,2,24,8.3%,11.0
Germany,2,7,28.6%,7.9
Sweden,2,11,18.2%,7.5
Belgium,1,7,14.3%,6.4
Brazil,1,17,5.9%,5.4
Spain,1,9,11.1%,10.9
EST,1,1,100%,10.0
HRV,1,1,100%,1.0
India,1,29,3.4%,39.7
Ireland,1,6,16.7%,5.2
Israel,1,3,33.3%,3.7
Italy,1,11,9.1%,6.6
JOR,1,3,33.3%,50.0
Japan,1,5,20%,2.8
OMN,1,1,100%,1.0
Portugal,1,1,100%,4.0
Thailand,1,3,33.3%,6.7
TUN,1,1,100%,9.0
South Africa,1,5,20%,4.0
ALB,0,1,0%,4.0
United Arab Emirates,0,2,0%,6.5
Argentina,0,4,0%,9.8
Austria,0,4,0%,5.8
Bangladesh,0,4,0%,62.0
BGR,0,1,0%,11.0
BOL,0,1,0%,11.0
Switzerland,0,5,0%,6.6
Chile,0,1,0%,18.0
China,0,2,0%,6.0
Colombia,0,2,0%,6.0
CRI,0,1,0%,8.0
CYP,0,3,0%,9.0
CZE,0,2,0%,8.5
Denmark,0,1,0%,11.0
DZA,0,1,0%,61.0
ECU,0,1,0%,2.0
Finland,0,3,0%,9.0
France,0,4,0%,6.8
Greece,0,2,0%,5.0
HKG,0,3,0%,8.0
Indonesia,0,2,0%,51.0
KAZ,0,1,0%,4.0
South Korea,0,4,0%,8.8
LTU,0,1,0%,3.0
MAR,0,1,0%,59.0
Mexico,0,13,0%,16.0
MLT,0,1,0%,8.0
Malaysia,0,4,0%,40.2
Nigeria,0,1,0%,9.0
Netherlands,0,5,0%,8.0
Norway,0,3,0%,7.3
New Zealand,0,1,0%,2.0
Pakistan,0,1,0%,11.0
PAN,0,1,0%,9.0
Peru,0,3,0%,7.7
Philippines,0,11,0%,47.9
Poland,0,6,0%,8.3
PRY,0,1,0%,5.0
QAT,0,2,0%,6.0
Romania,0,1,0%,10.0
Saudi Arabia,0,1,0%,4.0
Singapore,0,3,0%,5.3
SYR,0,1,0%,9.0
Turkey,0,4,0%,71.0
TWN,0,1,0%,2.0
UGA,0,1,0%,3.0
Ukraine,0,2,0%,81.5
VEN,0,1,0%,4.0
Vietnam,0,6,0%,54.7
ZMB,0,2,0%,5.0
